SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","Projects Host ","","","1%","£1,610","£100,000 ","7","11.00%","51"," 6%","Oldbury, West Midlands","EIS,","3","15","0","Projects Host is an internet solutions provider and has developed a Cloud-based biometric authentication for online transactions and payments on Smartphones and tablets. The launch of this technology aims to capitalise on the adoption of the Biometric Solution for financial transactions, with the mission of increasing the safety and security of online banking and payment against fraud. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7e224849c811fcdf4ddd00854c485937.jpg"
"2","Tidy Books ","","","158%","£119,220","£75,000 ","117","8.06%","7"," 100%","Waltham Forest, London","EIS,","84","312","38","Tidy Books makes award winning, innovative and eco-friendly storage and bookcases that get kids reading! They are a favourite with parents and are sold via John Lewis and other major retailers. Our designs and business model are scalable for international growth, making inroads into the US, Australia and Europe with a number of retailers already established. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cca91eef875111fc95c8104bf5054151.jpg"
"3","Dine In ","","","93%","£280,100","£300,000 ","86","23.08%","6"," 93%","Islington, London","EIS,","0","3","0","Dine In brings the fine dining experience closer to home by using their own fleet of food delivery drivers to deliver great quality food on behalf of London’s best restaurants and chefs. Their 'Delivery Tracker Platform' fully integrates all the stages of the food ordering process and keeps the customers alerted along the way. For companies they offer cost savings tools for them to process the expenses related to food. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_429de556dd14a87bea1c1953699dfb57.jpg"
"4","AngelBerry ","","","2%","£3,850","£150,000 ","15","9.00%","58"," 6%","Bristol, South Gloucestershire","EIS,","0","0","0","Launched in December 2011, AngelBerry is an international frozen yogurt franchise with six stores operating and with contractual agreement to open 50 new stores in the coming years. The global frozen yogurt market is experiencing impressive growth according to Mintel with a market size increase of 74% between 2011 and 2013, in comparison to the ice cream market which saw an increase of only 3.9%. AngelBerry is now serving over 15,000 customers per week. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fba6595b2aab262c19c1cb724f7019cd.jpg"
"5","Red Advertising ","","","50%","£200,910","£400,000 ","10","15.00%","28"," 50%","Cannock, Staffordshire","EIS,","0","0","0","Recruitive (Red Advertising Ltd) is an award winning Enterprise SaaS HR Solutions provider providing a suite of 5 HR tools for recruiters and SME HR departments. This placement is supported by Johnson Capital Associates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cdd6ed4320db72a2598c9a4f96b2c077.jpg"
"6","LawBit T/A LawBite ","","","15%","£19,120","£120,000 ","29","6.48%","56"," 15%","Wandsworth, London","EIS,","13","36","19","Lawbite aspires to democratise the law and offer affordable plain English documents. Access to expert legal advice for document editing, disputes, negotiation, mediation and arbitration. Partnership with direct access barristers  a new development of an initiative that is constantly evolving, conceptually and technologically. Recently endorsed at our Google Campus event by Minister for Skills and Enterprise Matthew Hancock. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8a2c8ca88328138ab156a236a0802daf.jpg"
"7","eMoneyUnion.com ","","","21%","£65,370","£300,000 ","56","15.00%","24"," 21%","Wilmslow, Cheshire East","EIS,SEIS","1","88","18","eMoneyUnion is a peer-to-peer lending platform with the aim of providing a personal loan offering to consumers that maybe currently excluded from mainstream finance. eMoneyUnion also aim to provide finance for cars, home improvements and other purchases. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_91dcae9e5146bcc813adea83cf7371f7.jpg"
"8","STS Yacht Services ","","","1%","£170","£25,000 ","5","7.15%","56"," 6%","Plymouth, Devon","EIS,SEIS","0","1","0","STS Yacht Services provides bespoke supply of high end 'below deck' items, such as flatware, stemware, dinnerware, bedding, crew uniforms etc. for superyachts. They offer an online catalogue where the user browses and selects items that they are interested in purchasing. STS then takes samples of these items to the boat in order to give the client the opportunity to experience and compare these items in their intended environment, prior to purchase. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ff1044b681d60873ad8b5f5fdf93df51.jpg"
"9","Earwig Academic Reporting ","","","113%","£158,850","£140,000 ","50","14.00%","11"," 100%","Ripley, Surrey","SEIS,","4","3","2","Schools now routinely use photos and videos to provide evidence of pupil achievement for Ofsted. Earwig enables them to organise these into a vivid timeline for every pupil, class, and subject.Every parent gets a weekly insight into their children’s school life. Every pupil gets a permanent record of their school life. Earwig make money by licencing the software and by selling photos and videos to parents. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_291146c4023739b40e15c60d7f437d84.jpg"
"10","Acqua Telecom ","","","10%","£16,410","£150,000 ","8","15.00%","30"," 10%","Hammersmith and Fulham, London","EIS,SEIS","0","1","9","Acqua aspires to provide a fresh approach to current mobile operators, focusing on providing value-added services to users, with a focus on fashion, sports and lifestyle. Whilst the mobile telecommunications industry is competing for market share on pricing, distribution and technology strategies, Acqua aims to gain customer interest and market share by focusing on high-quality delivery of services above and beyond what is currently on the market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b8d793bc06be4e6175a748d5c231581e.jpg"
"11","DisarmCo ","","","81%","£97,360","£120,000 ","95","25.00%","15"," 81%","Southend-on-Sea","EIS,SEIS","1","6","0","DisarmCo’s product enables the disposal of landmines in a simple, cost effective and environmentally friendly way. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_1e62377a30fd7cecc227dd995db1ad0e.jpg"
