SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","East End Manufacturing ","","","217%","£234,450","£108,000 ","213","10.71%","5"," 100%","Tower Hamlets, London","EIS,","0","2","4","East End Manufacturing champions ‘Made in Britain’ by producing clothing in London. Existing clients sell in Debenhams and House of Fraser. Launched by Mayor of London, Boris Johnson, the company expanded through Crowdcube in August. After talks this month, we are hoping to sell our own brand products to worldwide online fashion store ASOS.com which sells in 237 countries and will soon launch in China. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_99756e19be4e4c6d5ed7bac9b322cec4.jpg"
"2","AngelBerry ","","","74%","£112,270","£150,000 ","66","9.00%","41"," 74%","Bristol, South Gloucestershire","EIS,","8","6","0","Launched in December 2011, AngelBerry is an international frozen yogurt franchise with six stores operating and with contractual agreement to open 50 new stores in the coming years. The global frozen yogurt market is experiencing impressive growth according to Mintel with a market size increase of 74% between 2011 and 2013, in comparison to the ice cream market which saw an increase of only 3.9%. AngelBerry is now serving over 15,000 customers per week. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fba6595b2aab262c19c1cb724f7019cd.jpg"
"3","eMoneyUnion.com ","","","39%","£117,990","£300,000 ","70","15.00%","7"," 39%","Wilmslow, Cheshire East","EIS,SEIS","1","123","23","eMoneyUnion is a peer-to-peer lending platform with the aim of providing a personal loan offering to consumers that maybe currently excluded from mainstream finance. eMoneyUnion also aim to provide finance for cars, home improvements and other purchases. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_91dcae9e5146bcc813adea83cf7371f7.jpg"
"4","LawBit T/A LawBite ","","","61%","£73,960","£120,000 ","93","6.48%","39"," 61%","Wandsworth, London","EIS,","23","94","30","LawBite is an online legal service providing Simple Law for Small Companies. Offering affordable, plain English documents and a virtual law firm wrapped around its platform. Partnership with direct access barristers and increasing numbers of potential partners with large SME communities driving traffic to LawBite. Recently endorsed at our Google Campus event by Minister for Skills and Enterprise Matthew Hancock. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_8a2c8ca88328138ab156a236a0802daf.jpg"
"5","Lets Rent ","","","103%","£77,870","£75,000 ","61","22.50%","15"," 100%","Manchester","EIS,SEIS","72","4","0","Lets Rent aims to improve the way landlords let their property. We think the traditional model of letting agents is out-dated – expensive and inefficient. Our modern approach at Lets Rent aims to benefit both the landlord and the tenant. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_13605b29abd27bc8aae2ca66ce95912f.jpg"
"6","One City ","","","63%","£44,740","£70,000 ","41","5.00%","54"," 63%","Henley-On-Thames, Oxfordshire","-,","1","18","4","One City is an online and offline gateway to an estimated £12bn+ global flexible workspace industry. 48% of us work remotely for at least half the week. One City aims to provide a global network of inspiring workplaces, allowing work anytime, anyplace, anywhere – online and offline.And you only pay for what you use. Property owners can participate in a global franchise with a digital platform and employers can reduce their property overheads through mobile working. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_5323216c7c5b52f2d0e97ede0507bfee.jpg"
"7","Clear Water Revival ","","","3%","£6,030","£160,000 ","26","10.00%","50"," 8%","Bristol, City of Bristol","EIS,","1","0","0","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"8","Projects Host ","","","11%","£11,210","£100,000 ","12","11.00%","34"," 11%","Oldbury, West Midlands","EIS,","4","16","0","Projects Host is an internet solutions provider and has developed a Cloud-based biometric authentication for online transactions and payments on Smartphones and tablets. The launch of this technology aims to capitalise on the adoption of the Biometric Solution for financial transactions, with the mission of increasing the safety and security of online banking and payment against fraud. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7e224849c811fcdf4ddd00854c485937.jpg"
"9","Zero Carbon Food ","","","13%","£40,370","£300,000 ","68","10.00%","55"," 13%","Wandsworth, London","EIS,SEIS","65","43","5","Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. The business has a strong board including Celebrity chef Michel Roux Jr and Florette’s Managing Director. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_b8136aec96a82c2b133bb3034f687a67.jpg"
"10","WallJAM ","","","130%","£130,750","£100,000 ","100","10.00%","5"," 100%","Stevenage, Hertfordshire","EIS,","3","11","3","WallJAM is a shaped, interactive rebound wall and sports activity zone, designed to get people of all age groups and ability levels active, in a fun and intuitive way. WallJAM aims to significantly drive sports participation levels across the UK through repackaging the way sport is delivered at grass root level. The shape, material and graphics encourage repetition, with scope to deliver a ‘predictably unpredictable’ ball return. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_4577854f541bf912f90cc80450da5833.jpg"
