SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","NewGalexy Services ","Robert Glennie, Sarvarth Misra, Ricky McCracken","Professional and Business Services,Technology","201%","£201,980","£100,000 ","117","10.00%","2"," 100%","Glasgow, Glasgow City","EIS,","1","0","2","IntroductionNewGalexy Services Limited (NewGalexy) plans to raise £100,000 via this investment pitch to complete its current investment requirement of £650,000.NewGalexy is a new onshore Legal Process Outsourcing (LPO... Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_dd4095989f28f29e5eeb41a1ac811b71.jpg"
"2","Crowd Mortgage ","Luke Barnes","Professional and Business Services,Internet Business,Technology","37%","£32,130","£85,000 ","34","13.08%","57"," 37%","Liverpool, Merseyside","EIS,","0","1","0","Crowd Mortgage aim to be the most revolutionary mortgage solution to hit the market in decades, evolving the outdated mortgage systems and breaking new ground in the nascent and growing crowdfunding industry. Crowd Mortgage is a peer-to-peer lender that offer borrowers' full term mortgage contracts, whilst giving savers control and flexibility of their investments, enabling their loan rates to adjust alongside the ever changing “market” rates. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cc4cc9919d039e781f3e28802ac948a0.jpg"
"3","Orsto ","Paul Gill","IT and Telecommunications ,Technology","37%","£55,840","£150,000 ","61","12.50%","19"," 37%","Durham, County Durham","SEIS,","5","4","2","Orsto Ltd is a design engineering company based in Durham that develops wearable technology products  in particular Smartwatches. Experienced company founder Paul has spent the last 3 years researching and developing Smartwatches and now plans to release Orsto’s most advanced Smartwatch yet to take full advantage of a new and emerging market set to sell 36 million units per annum by 2018. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_4ee4d8a823a7230341241b0ce01086c7.jpg"
"4","ViralFilmNetwork ","Simon Vause","Internet Business,Technology,Film, TV and Theatre","1%","£40","£150,000 ","2","35.00%","59"," 6%","Wakefield, West Yorkshire","SEIS,","0","0","0","The ViralFilmNetwork is a platform which will facilitate the creation and distribution of films. The concept allows every part of the film making process, from selecting a script, all the way through to deciding how a trailer is cut, to be turned over to the film going public. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_84c110a8eaf64bc7bf7b52b5529a0a42.jpg"
"5","SegKind ","Rob Gray and Gideon Elichaoff","Leisure and Tourism,Sport & Leisure","52%","£52,910","£100,000 ","30","12.00%","13"," 52%","Barnet, Greater London","EIS,","0","0","0","SegKind provides consumer and corporate Segway experiences at 9 off-road tracks with it's SegRally brand Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_1ad0468abbcf1d428221c0e98cc91e3c.jpg"
"6","Purple Harry ","Richard Hargreaves","Retail,Consumer products,Sport & Leisure","30%","£22,960","£75,000 ","49","20.00%","40"," 30%","Derby","EIS,","129","37","34","Purple Harry is an innovative cycling accessory company that entered the market with a simple but effective product to clean the most inaccessible areas of a bicycle and its components. From this a complimentary range was developed and since launch the company has enjoyed positive reviews from the industry press, qualified mechanics , professional cycling teams and amateur riders plus an invitation to be an official product supplier of the Tour of Britain for 2013.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_e74c7a59e11091151b334d948db782e4.jpg"
"7","gamesGRABR ","Tony Pearce","Retail,Internet Business,Technology","81%","£122,210","£150,000 ","71","7.00%","37"," 81%","Bromley, Greater London","EIS,","18","14","15","gamesGRABR is a social network for people that love games  available on mobile, tablet and PC. gamesGRABR gives the user the ability to discover, collect and play the games they love.The website is developed in a contemporary ‘pinboard-style’ interface allowing the user to curate their own collections, discover, engage, play and share them with other users with similar interests. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_12d620cbbe33aa106b16a6f0ff31861b.jpg"
"8","Music Gateway ","Jon Skinner","Media and Creative Services,Professional and Business Services,Internet Business","6%","£7,510","£125,000 ","11","15.00%","57"," 10%","South Nutfield, Surrey","EIS,","2","4","6","Music Gateway streamlines the way musicians connect globally. The company, which offers a low cost, scalable solution, has gained 10,000 users, 600 projects and 2,800 pitches since its launch in August representing a 62% growth. With low overheads, proof of market and a high gross margin, Music Gateway plans to grow and scale further through volume user acquisition. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_5bb9c04731e7dfd1688bf8d26d15c2b8.jpg"
"9","Doctor Wellgood ","Al Campbell","Education,Health & Fitness,Sport & Leisure","1%","£1,690","£100,000 ","6","13.87%","57"," 6%","Cranleigh, Surrey","EIS,SEIS","0","0","0","Launched in February 2013, Doctor Wellgood is an online publishing venture that is dedicated to the lifestyle, wellbeing and health of young adults. The website creates an online environment that talks to them about issues that concern them in an engaging way.With minimal marketing spend the site has already had over 80,000 page views to 33,000 visitors. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_7426d14a93dfdeea851fa859ae9a4fbf.jpg"
"10","Tidy Books ","Geraldine GRANDIDIER","Manufacturing,Retail,Consumer products","23%","£17,560","£75,000 ","26","7.50%","50"," 23%","Waltham Forest, London","EIS,","4","49","12","Tidy Books makes award winning, innovative and eco-friendly storage and bookcases that get kids reading! They are a favourite with parents and are sold via John Lewis and other major retailers. Our designs and business model are scalable for international growth, making inroads into the US, Australia and Europe with a number of retailers already established. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_cca91eef875111fc95c8104bf5054151.jpg"
