SR.No.,Company Name,Founder,Sectors,Funded,Invested,Target,Investor,Equity,Days left,Progress,Location,Tax Relife,Likes,Tweets,Share,Content,Photo Url
"1","One City ","","","162%","£113,920","£70,000 ","","","1"," 100%","Henley-On-Thames, Oxfordshire","SEIS,","14","150","12","One City is an online and offline gateway to an estimated £12bn+ global flexible workspace industry. 48% of us work remotely for at least half the week. One City aims to provide a global network of inspiring workplaces, allowing work anytime, anyplace, anywhere – online and offline.And you only pay for what you use. Property owners can participate in a global franchise with a digital platform and employers can reduce their property overheads through mobile working. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/1/1_5323216c7c5b52f2d0e97ede0507bfee.jpg"
"2","Clear Water Revival ","","","105%","£168,320","£160,000 ","","","1"," 100%","Bristol, City of Bristol","EIS,","95","63","15","Clear Water Revival have been successfully designing and constructing chlorine free, natural swimming pools since 2006. They have developed a biological filtration technology that uses nature's processes, not chemicals to clean and sanitise swimming pool water. Their product aims to become the filtration system of choice in the swimming pool market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_046c106479765544096da8f48822cf7f.jpg"
"3","EstatesDirect.com ","","","64%","£161,030","£250,000 ","","","51"," 64%","Worcester, Worcestershire","EIS,SEIS","43","10","7","EstatesDirect.com is an online estate agent with a difference. The company is headed-up by Steve Smith, founder of Poundland and Darren Richards, founder of DatingDirect.com. Established for over two years selling and letting over 450+ properties to date, they are now looking to expand Nationally. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_6c638b3f9d2f38c53a224f13e6ae07a3.jpg"
"4","Empiribox ","","","73%","£36,960","£50,000 ","","","49"," 73%","Barnet, London","EIS,SEIS","42","3","0","Empiribox is as an engaging way primary school children can learn science, as a form of hands-on learning and investigation! For teachers, it aims to be innovative and ground-breaking, integrating a novel approach to teaching support and learning, with access to the equipment needed to 'enthral' a classroom. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_24aca842758852635575f79fae41d9eb.jpg"
"5","myBarrister ","","","9%","£13,670","£150,000 ","","","54"," 10%","London","EIS,SEIS","13","31","45","myBarrister exploits changes in the £23bn UK legal sector by enabling businesses and individuals to find and appoint a barrister to swiftly resolve their legal issues. With an intelligent website, a growing membership and a proven ability to attract clients, myBarrister has already earned over £100,000 income. They are now seeking funding to dramatically increase membership, boost marketing and accelerate towards an early exit. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_05b8cdb2957995a5222c6ab6121470b5.jpg"
"6","Giorry ","","","1%","£700","£100,000 ","","","56"," 6%","Wooburn Green, Buckinghamshire","EIS,","12","8","25","Yippydada is a brand that designs and sells 'stylish and cool' baby bags. Over 10 million babies are born every year in the US, Europe and Australia alone providing a vast target market. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_ba1e0716b5617605fa53cfa9c64b90ee.jpg"
"7","Zero Carbon Food ","","","125%","£377,160","£300,000 ","","","31"," 100%","Wandsworth, London","EIS,","132","102","19","Backed by celebrity chef Michel Roux Jr and Florette’s Managing Director, Zero Carbon Food utilizes redundant underground spaces in London, producing leafy greens, herbs and micro greens using LED lights and hydroponics, producing fresh ingredients with a minimal carbon footprint. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_fabe25f815ed604b3086479afb026d93.jpg"
"8","Blanco Nino ","","","147%","£88,330","£60,000 ","","","23"," 100%","Islington, London","EIS,SEIS","297","16","15","Blanco Niño, working directly with Irish farmers, aims to establish an authentic corn tortilla factory in Dublin Ireland. Producing unadulterated and sustainably produced corn tortillas, tortilla chips and masa haina for the European market.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_06e20d11cfb80dfe53b427640b704914.jpg"
"9","Pulmorphix ","","","52%","£52,200","£100,000 ","","","44"," 52%","Liverpool, Merseyside","SEIS,","10","31","7","A spinout from Liverpool John Moores University. Pulmorphix have developed a 'lung biosimulator' - a device that replicates the conditions deep in the human lung. Pulmorphix intend to offer a commercial testing service to give drug developers a reliable way of understanding how their drugs will behave when inhaled. Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_0f0c95745dbf738ef87de4fd2b3f4006.jpg"
"10","Thor Drinks ","","","36%","£30,940","£85,000 ","","","29"," 36%","Enfield, London","EIS,SEIS","44","63","7"," Thor Drinks is a new range offering legendary refreshment to adults in bars, pubs and restaurants. We believe thatsweet and sickly soft drinks are monopolising the bar back fridges, and that Thor Drinks are challenging the old guard by capturing what we enjoy most in our favourite alcohol brands - crisp, dry flavours delivered with drama and passion.Read full pitch","http://www.crowdcube.com/files/pitch_pics/thumbs/200x150/2/1_80e0db01dab7fa260f86cde03b24a9c6.jpg"
